"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 17 22:45:02 UTC 2021","Wed Mar 17 22:45:02 UTC 2021","0","","predicates/current_prolog_flag_2/tests.lgt::tests","","tests","","eddbali_current_prolog_flag_2_12",""
"passed","Wed Mar 17 22:48:57 UTC 2021","Wed Mar 17 22:48:57 UTC 2021","1","","predicates/write_term_3/tests.lgt::tests","","tests","","lgt_write_term_3_24",""
"passed","Wed Mar 17 22:47:35 UTC 2021","Wed Mar 17 22:47:35 UTC 2021","0","","predicates/read_term_3/tests.lgt::tests","","tests","","sics_read_term_3_19",""
"failed","Wed Mar 17 22:48:02 UTC 2021","Wed Mar 17 22:48:02 UTC 2021","0","","predicates/set_stream_position_2/tests.lgt::tests","","tests","","sics_set_stream_position_2_06",""
"passed","Wed Mar 17 22:40:43 UTC 2021","Wed Mar 17 22:40:43 UTC 2021","0","","functions/atan2_2/tests.lgt::tests","","tests","","lgt_atan2_2_11",""
"passed","Wed Mar 17 22:48:49 UTC 2021","Wed Mar 17 22:48:49 UTC 2021","0","","predicates/univ_2/tests.lgt::tests","","tests","","lgt_univ_2_24",""
"passed","Wed Mar 17 22:44:50 UTC 2021","Wed Mar 17 22:44:50 UTC 2021","0","","predicates/current_op_3/tests.lgt::tests","","tests","","iso_current_op_3_18",""
"passed","Wed Mar 17 22:44:38 UTC 2021","Wed Mar 17 22:44:38 UTC 2021","0","","predicates/compound_1/tests.lgt::tests","","tests","","iso_compound_1_06",""
"passed","Wed Mar 17 22:43:54 UTC 2021","Wed Mar 17 22:43:54 UTC 2021","0","","predicates/atom_concat_3/tests.lgt::tests","","tests","","eddbali_atom_concat_3_07",""
"passed","Wed Mar 17 22:45:49 UTC 2021","Wed Mar 17 22:45:49 UTC 2021","1","","predicates/get_code_2/tests.lgt::tests","","tests","","iso_get_code_2_02",""
"passed","Wed Mar 17 22:49:17 UTC 2021","Wed Mar 17 22:49:17 UTC 2021","0","","syntax/numbers/tests.lgt::tests","","tests","","iso_number_07",""
"passed","Wed Mar 17 22:40:11 UTC 2021","Wed Mar 17 22:40:11 UTC 2021","0","","control/soft_cut_2_3/tests.lgt::tests","","tests","","commons_soft_cut_2_3_04",""
"passed","Wed Mar 17 22:45:21 UTC 2021","Wed Mar 17 22:45:21 UTC 2021","0","","predicates/flush_output_1/tests.lgt::tests","","tests","","sics_flush_output_1_03",""
"passed","Wed Mar 17 22:47:43 UTC 2021","Wed Mar 17 22:47:43 UTC 2021","0","","predicates/retract_1/tests.lgt::tests","","tests","","iso_retract_1_11",""
"passed","Wed Mar 17 22:49:09 UTC 2021","Wed Mar 17 22:49:09 UTC 2021","1","","syntax/double_quoted_terms/tests.lgt::tests","","tests","","iso_double_quoted_term_10",""
"passed","Wed Mar 17 22:44:50 UTC 2021","Wed Mar 17 22:44:50 UTC 2021","0","","predicates/current_op_3/tests.lgt::tests","","tests","","iso_current_op_3_26",""
